Chromosome	kbp_pos	scaffold	close_Wagner_SNPs	Gene_1	Gene_2	Gene_3		
Z	37188.104	CM022174.1	NA	Rusc2				
Z	37206.266	CM022174.1	NA					
Z	37254.882	CM022174.1	NA	Atp8b5				
Z	37435.715	CM022174.1	NA					
Z	37487.369	CM022174.1	NA	Unc13b				
Z	37604.386	CM022174.1	NA					
Z	37632.781	CM022174.1	NA	Pigo				
Z	37740.564	CM022174.1	NA					
Z	37756.946	CM022174.1	NA					
Z	37814.782	CM022174.1	NA					
Z	37821.638	CM022174.1	NA					
Z	37900.561	CM022174.1	NA	Cntfr				
Z	37912.094	CM022174.1	NA					
Z	37961.251	CM022174.1	NA					
Z	37974.21	CM022174.1	NA					
Z	38137.535	CM022174.1	NA					
Z	38152.183	CM022174.1	NA					
Z	38227.088	CM022174.1	NA					
Z	38279.867	CM022174.1	NA					
Z	38291.302	CM022174.1	NA	Arid3a_0				
Z	38311.258	CM022174.1	NA					
Z	38327.965	CM022174.1	NA					
Z	38854.722	CM022174.1	NA	Ube2r2				
Z	42669.716	CM022174.1	NA	Syt4				
Z	43824.988	CM022174.1	NA					
Z	43976.331	CM022174.1	NA	Atp5f1a				
Z	45088.124	CM022174.1	NA					
Z	45102.421	CM022174.1	NA					
Z	45168.41	CM022174.1	NA					
Z	45175.688	CM022174.1	NA	Ctif				
Z	45364.618	CM022174.1	NA					
Z	45528.579	CM022174.1	NA	Lipg				
Z	45702.619	CM022174.1	NA					
Z	46828.62	CM022174.1	NA					
Z	46854.428	CM022174.1	NA	Rnf38				
Z	47533.941	CM022174.1	NA					
Z	48509.731	CM022174.1	NA					
Z	48802.492	CM022174.1	NA					
Z	48976.018	CM022174.1	NA					
Z	50778.681	CM022174.1	NA					
Z	51871.927	CM022174.1	NA					
Z	52607.846	CM022174.1	NA					
Z	52690.929	CM022174.1	NA					
Z	52908.33	CM022174.1	NA					
Z	53258.33	CM022174.1	NA					
Z	53653.657	CM022174.1	NA					
Z	53776.403	CM022174.1	NA					
Z	54530.532	CM022174.1	NA	Tmc1				
Z	54838.573	CM022174.1	NA					
Z	58069.206	CM022174.1	NA					
Z	58152.604	CM022174.1	NA					
Z	60414.667	CM022174.1	NA					
Z	60838.383	CM022174.1	NA					
Z	60883.193	CM022174.1	NA					
Z	62192.702	CM022174.1	NA	Fbxl17				
Z	62697.882	CM022174.1	NA	Fer				
Z	64175.339	CM022174.1	NA					
Z	64331.34	CM022174.1	NA					
Z	64939.696	CM022174.1	NA	Akap2				
Z	65294.746	CM022174.1	NA					
Z	65539.484	CM022174.1	NA	Dnajc25				
Z	65667.903	CM022174.1	NA					
Z	66037.52	CM022174.1	NA					
Z	66292.309	CM022174.1	NA					
Z	67621.732	CM022174.1	NA					
Z	68426.987	CM022174.1	NA	Lingo2				
Z	68899.212	CM022174.1	NA					
Z	69510.617	CM022174.1	NA					
Z	69757.251	CM022174.1	NA	Aptx	Dnaja1_0			
Z	69812.869	CM022174.1	NA	B4galt1				
Z	70000.949	CM022174.1	NA	Tmod1				
Z	70037.272	CM022174.1	NA					
Z	70801.835	CM022174.1	NA	Pcsk1				
Z	70997.824	CM022174.1	NA					
Z	71231.597	CM022174.1	NA					
Z	71237.109	CM022174.1	NA	Cdc25b				
Z	71650.395	CM022174.1	NA					
Z	71751.263	CM022174.1	NA					
Z	72917.551	CM022174.1	NA					
