Standardized_UoA_code	UoA_sample_code	Animal_ID	Common_name	Species_subspecies	Date_event_reported	Latitude	Longitude	Specific_geographic_location	Broad_geographic_location	Physical_population	Age_class	Sex	Length_cm	mtDNA_haplotype	Sampling_event	Fisheries_gear_type	Description_of_collection_event	Additional_remarks	Necropsy_results	Necropsy_results_details	Path_No.	COD_category	Detailed_cause_of_death	Death_by_pathogen	Cause_of_death_notes	Reconciliation_notes
NA	NA	H244	Hector's dolphin	Cephalorhynchus hectori hectori	04-Oct-2013	-43.479207	172.723274	Waimairi Beach, 1.5-3km north of Spencer Park, Pegasus Bay	Pegasus Bay	ECSI	J	F	86	NA	Beachcast (dead on shore)	Not Applicable	Found by whitebaiters rolling in surf/high tide line. They piced it up and took it to CCC ranger at Spencer Park	Not required	Natural causes - disease	Severe heart disease with heart failure and pulmonary oedema. This calf died of heart failure due to severe inflammation of the heart muscle. The microscopic appearance of the heart was quite unusual, and as far as I know nothing similar has been reported in marine mammals to date. Molecular testing for toxoplasmosis will be carried out, but the lesions weren't typical of this infection.	50157	Disease	myocarditis	y	NA	DOC database had 'Male' for this individual
NA	NA	H248	Hector's dolphin	Cephalorhynchus hectori hectori	15-Dec-2013	-41.28832	174.00773	Dolphin watch cnr of London Street and Wellington street, Picton, Marlborough	Marlborough	NCSI	A	M	130	NA	Live stranded - Died (single or pair)	Not Applicable	Hector's dolphin now dead. Have taken the dolphin and put body on ice	Not required	Natural Causes - general	1. Severe pulmonary parasitism. 2. Gastric ulceration. 3. Emaciation. This dolphin had no evidence of trauma, so presumably the abnormal swimming that was observed was due to severe weakness. The lungworm burden present was the largest I have seen, and would have contributed to the animal's illness. Heavy parasite infestations in adult dolphins are often assocaited with underlaying disease.	50404	Disease	pneumonia	y	NA	NA
NA	NA	H250	Hector's dolphin	Cephalorhynchus hectori hectori	02-Oct-2014	-43.530909	172.741621	South Brighton - near Jerrico St (I think means Jellicoe street as could not find a Jerrico St, coordinate based of this), Pegasus Bay	Pegasus Bay	ECSI	J	M	100	NA	Live stranded - Died (single or pair)	Not Applicable	Found on high tide line on beach (near 2 dead seal pups) - recovered by christchurch city council ranger. Post mortem shows likely stranded live, was scavenged causing blood loss, died before discovery. Cause of stranding unknown	no photos of site, dolphin picked up by council before rangers got there. Pathology results and histology show this dolphin had sever myocarditis (heart disease) that would have made him weak and subject to stranding	Natural causes - disease	Severe myocarditis. This calf had very severe heart disease. It is likely that the calf was weak due to compromise of heart function, causing him to live-strand or float and be attacked by scavengers. The microscopic changes in this calf are very similar to another Canterbury calf (H244). Tissues from H244 were tested for toxoplasma and were negative. Tissues from this current calf will also be tested in due course. This report will be updated if these tests identify the cause of this disease.	51361	Disease	myocarditis	y	NA	NA
NA	NA	H251	Hector's dolphin	Cephalorhynchus hectori hectori	30-Oct-2014	-40.5877	172.6897	Pakawau Beach, Golden Bay.	Golden Bay	NCSI	A	M	127	NA	Beachcast (dead on shore)	Not Applicable	Dolphin found washed up dead and beginning to decay. Was situated at the mid tide mark and collected before the tide came back in at 9.30pm so no photo was taken in situ. Body was brought in to Takaka DOC the next morning. No obvious causes of death noticed.	histopathology showed the dolphin had severe lung disease, partly due to a heavy lungworm infection.	Natural causes - disease	Severe parasitism. Unfortunately decomposition and freezing will make it more difficult to get a definitive diagnosis of cause of death, but the poor body condition of the animal suggests that he had been ill for a while. This dolphin had quite severe lung disease, partly due to a heavy lungworm infection. Toxoplasma testing is pending, to rule out this as a cause of the interstitial pneumonia. The presence of parasite eggs in the lymph nodes also indicates severe parasitism in this dolphin.	51492	Disease	severe parasitism/starvation	NA	not sure if you want to include parasites in your 'pathogen' category?	NA
NA	NA	H252	Hector's dolphin	Cephalorhynchus hectori hectori	17-Dec-2014	-43.522095	172.737734	South Brighton Surf Club, Pegasus Bay	Pegasus Bay	ECSI	J	M	90.5	NA	Beachcast (dead on shore)	Not Applicable	call at 6.30am from ranger at Mahaanui as council ranger reported a dead Hector's dolphin on beach at South Brighton Surf Club. PIcked up by DOC ranger	this dolphin had vertebral scoliosis (twisted spine) with muscle atrophy. The severe deformity of the spine could have been either congenital or the result of a fracture. While this spinal deformity was not the direct cause of death, the severe muscle wasting and poor body condition indicate that this dolphin was not able to swim normally, and may have ultimately starved to death.	Natural Causes - general	Vertebral scoliosis (twisted spine) with muscle atrophy. The severe deformity of the spine could have been either congenital or the result of a fracture. Further dissection and imaging studies will be carried out to try to clarify this. While this spinal deformity was not the direct cause of death, the severe muscle wasting and poor body condition indicate that this dolphin was not able to swim normally and may have ultimately starved to death.	51579	Misc	spinal deformity/starvation	n	NA	NA
NA	NA	H253	Hector's dolphin	Cephalorhynchus hectori hectori	10-Jan-2015	-41.276	173.2545	Bolton's hole in shallow water, Nelson	Nelson	NCSI	J	M	83.5	NA	Entangled - caught in gear (dead)	Recreational set net	This dolphin was reported to DOC by a member of the media, who had been contacted by a fisherman. The fisherman had hauled the dolphin up dead in his set net on Friday. The media contacted DOC on the Monday morning, and the body was recovered. The net was a nylon recreational net, with a knot-to-knot distance of 150mm when stretched.	associated in the media with 1624 but it is unclear if the two incidents are connected. It is not known if the dolphin drowned in the set net, or if it died prior to being caught in the net. The dolphin was inadvertently frozen during shipping to Massey University whereby much of the post mortem information was lost	Entanglement	"Known bycatch. Unfortunately, this dolphin was frozen during transport, and the thawing process results in loss of much post mortem information, including sloughing of the skin and therefore destruction of skin lesions that may have been visible when the dolphin was fresh. The reported history of capture in a fishing net enables a diagnosis of "known bycatch" to be made, but this diagnosis would have been difficult to impossible to make without that information."	51635	Known bycatch	known bycatch	n	NA	Date event observed was 9/01/15 0:00
NA	NA	H254	Hector's dolphin	Cephalorhynchus hectori hectori	23-Feb-2015	-46.3587	167.9006	Tihaka beach end of Colac Bay (by surfer's carpark), Southland	Southland	SCSI	A	F	149	NA	Beachcast (dead on shore)	Not Applicable	Found at approximately mean high tide mark on Tihaka beach end of Colac Bay.  Department contacted of its presence.   went and investigated/recovered.  Pre-existing injury to spine	Sent to Massey pathologists for post-mortem examination, spine severely deviated, and there was degeneration of the intervertebral discs as well as bony fusion of the affected vertebrae. . The healed scars present on the skin over the site of spinal damage suggest that this may have been caused by a traumatic injury. Deformity itself would not have caused death but would have compromised foraging ability, animals body condition was very poor	Natural Causes - general	Scoliosis of spine, severely deviated, degeneration of the intervertebral discs and bony fusion of affected vertebrae. Healed scars on skin at site of spinal damage suggest maybe traumatic injury (predator or vessel). Dolphin may have coped initially, but bones & discs began to degenerate, resulting in atrophy of tail muscles and likely severely compromised foraging ability. loose teeth and ulcerated chin maybe due modified foraging behaviour eg spending increased time foraging on the sea floor.	51752	Misc	spinal deformity/starvation	n	NA	NA
NA	NA	H255	Hector's dolphin	Cephalorhynchus hectori hectori	06-Apr-2015	-43.789514	172.920056	Petit Carenage Bay, Akaroa Harbour, Canterbury	Akaroa	ECSI	S	M	121	NA	Beachcast (dead on shore)	Recreational set net	Hector's dolphin found on beach in Akaroa harbour with obvious marks on the head area that may indicate the animal had been entangled in a net. There were many set nets in the area (all legal). Scientists at the scene identified 'classic' set net entanglement marks on the dorsal fin and front of the tail flukes. Dolphin was sent to Massey University for necropsy where they found a healthy dolphin with recent prey in it's stomach, net marks, and no evidence of any other cause of death.	Not required	Entanglement	"Diagnosis: bycatch. There were markings over the snout, flipper and fluke that are consistent with net marks, and the cause of
death is by-catch.
This was a young male dolphin, in good body condition with no obvious indication of any underlying disease process."	51888	Prob bycatch	probable bycatch	n	NA	Age_class based on Massey: NZCETA had NA, DOC had 'Adult'
NA	NA	H256	Hector's dolphin	Cephalorhynchus hectori hectori	11-Sep-2015	-45.128735	170.957478	Beach Road, Oamaru. 200m south of Golf course, Otago	Otago	ECSI	A	F	141	NA	Beachcast (dead on shore)	Not Applicable	Hector's dolphin in good condition found on beach in Oamaru. Found between tide marks by DOC staff. No apparant interference. Taken to fieldbase and kept cool over weekend. Sent to Massey for Necropsy via Halls Transport	cause of death disseminated toxoplasmosis: tissues from this dolphin were positive for Toxoplasma on PCR and IHC	Natural causes - disease	Disseminated  toxoplasmosis. The microscopic changes present in tissues from this dolphin are consistent with toxoplasmosis, but definitive diagnosis of this disease requires molecular testing and immunohistochemistry. These tests will be carried out and the results notified in due course.	52509	Disease	toxoplasma	y	NA	NA
NA	NA	H258	Hector's dolphin	Cephalorhynchus hectori hectori	17-Oct-2016	-42.74281433	170.9313947	Southside Beach, Hokitika	Hokitika	WCSI	J	F	74.5	NA	Beachcast (dead on shore)	Not Applicable	Member of the public discovered the dolphin and moved it higher on shore before calling duty ranger. no visible injuries but obviously very very young.	Not required	Natural causes - disease	Diagnosis: infectious disease - meningitis, ocular inflammation and pneumonia. This dolphin was very young, but had lived long enough to pass meconium. may have been separated from mother for some time before death. The calf had significant hitological lesions in the lung, eye and brain. These changes can be seen in a number of infectious diseases, including brucellosis and toxoplasmosis. We will run some molecular tests for those agents.	53951	Disease	meningitis + resp distress	y	NA	NA
NA	NA	H260	Hector's dolphin	Cephalorhynchus hectori hectori	15-Dec-2016	-42.352398	173.698027	Harnetts Creek, Old Beach Road, Kaikoura	Kaikoura	ECSI	A	F	140.5	NA	Beachcast (dead on shore)	Not Applicable	Kaikoura isolated by road, got dolphin helicoptered to Blenheim where it was freighted to Massey Uni in Palmerston North. In good condition. No fishing boats operating at the time due to quake.	Animal delivered frozen as Halls refused to take chilled	Natural causes - disease	"histology, culture and molecular typing have confirmed that this dolphin had tuberculosis. The
organism that was identified has a similar genetic typing pattern to the isolates of M. pinnipedii that we have
found in seals and sea lions from New Zealand waters. I have not found any existing reports of tuberculosis
in cetaceans, so this is an extremely unusual case"	54144	Disease	tuberculosis	y	NA	NA
NA	NA	H261	Hector's dolphin	Cephalorhynchus hectori hectori	08-Feb-2017	-44.71766667	171.3066667	Approximately 11nm south of Timaru	Timaru	ECSI	A	M	129.2	NA	Entangled - caught in gear (dead)	Commercial set net	"Approximately 2000 m of net was deployed with pingers were spaced every 100 m along the net. No HDO sightings occurred prior to setting or whilst the net was soaking.

About half way through hauling (1000 m along the net), a single HDO was brought up in the net. The animal was dead when brought on board the vessel and has been retained by the observer. The animal was photographed and measured before being stored on ice. No HDO sightings occurred prior to the capture or during the remainder of the haul."	Not required	Entanglement	This dolphin was in good body condition, with recently ingested prey in the stomach and no evidence of infectious or other disease. These findings are consistent with the history (found in fishing net). It is useful to note that there were no distinctive marks of net entanglement, and that there was no foam or fluid in the lungs. Histology did not show any evidence of underlying disease.	54221	Known bycatch	known bycatch	n	NA	NA
NA	NA	H262	Hector's dolphin	Cephalorhynchus hectori hectori	10-Feb-2017	-43.580755	172.776395	Upper Taylor's Mistake beach, Pegasus Bay	Pegasus Bay	ECSI	J	M	76.6	NA	Beachcast (dead on shore)	Not Applicable	Unknown	Unknown	Natural causes- maternal separation	"This calf was quite young, and had some indications of decreased food intake (a slightly concave neck and
shrunken lumbar muscles). Histology showed evidence of pneumonia/fetal respiratory distress, which may
have weakened the calf and therefore contributed to his death. This is a non-specific finding, and can
sometimes be associated with disease but often no cause is able to be found."	54222	Disease	pneumonia/resp distress	y	NA	Date event reported was 01-Jan-9999
NA	NA	H263	Hector's dolphin	Cephalorhynchus hectori hectori	06-Mar-2017	-42.44478048	171.1919292	Blaketown Beach, 300m south of Grey River	Greymouth	WCSI	A	U	NA	NA	Beachcast (dead on shore)	Recreational set net	Last Saturday evening I attended to a report of a dead “small whale” found on Blaketown Beach, 300 m south of the Grey River mouth.  I went to the scene to make an initial assessment before deciding what to do next and saw that it was a half-eaten Hector dolphin.  With the help of the bystander who reported the find, I then dragged the carcase clear of the incoming tide and returned shortly afterward to photograph and retrieve it.  I put it into the DOC freezer.	dolphin was subject to post mortem mutilation via a slit belly and removed tail stock. Had mark consistent with being caught in a net. Was investigated by MPI and DOC. Investigation report states that dolphin was likely caught by an unlawful recreational set net atound the Taramaku river mouth	Entanglement	There are definitive signs of direct human interaction in this dolphin: clean removal of the tail stock and a knife incision along the ventral midline. There are also some signs of possible entanglement in fishing gear: abrasions and lacerations of the leading edges of flippers and dorsal fin, laceration of the snout. The scallop shape of the borders of the missing blubber/soft tissue are consistent shark bites.	54334	Poss bycatch	possible bycatch	n	NA	Date event observed was 11/02/17 19:30
NA	NA	H264	Hector's dolphin	Cephalorhynchus hectori hectori	27-Mar-2017	-43.834049	172.587673	Kaitorete Spit (coordinates provided are inaccurate so guessed based off map provided)	Canterbury	ECSI	A	M	114	NA	Beachcast (dead on shore)	Not Applicable	Email to DOC Marine Mammals with photos of dead dolphin on beach. Possible knife cuts visible. Contacted photographer to establish location and picked it up next morning. Seen by photographer on afternoon of 26th, not reported until evening of 27th and picked up following morning. Sent to Massey via freight	dolphin was subject to post mortem mutilation via a slit belly and removed tail stock. Investigation by MPI and DOC still pending	Natural causes - disease	"1.Chronic disease - pneumonia
2. Post mortem carcass mutilation. This dolphin had definite signs of human interaction, most likely inflicted by a knife. There was no indication
that the damage had been inflicted while the animal was alive, so the appropriate diagnosis is post mortem
carcass mutilation. No signs of bycatch present. The dolphin also had pneumonia, which likely explains his poor body condition."	54428	Disease	pneumonia	y	NA	Date event observed was 26/03/17 0:00
NA	NA	H265	Hector's dolphin	Cephalorhynchus hectori hectori	21-Oct-2017	-45.795764	170.655297	Pulling Point, Dunedin	Dunedin	ECSI	A	F	145	NA	Beachcast (dead on shore)	Not Applicable	Dead dolphin found. This dolphin has been confirmed positive for toxoplasmosis.	Was recognised by Otago Uni dolphin ID catalogue. Had been seen in Blueskin Bay on 27 April.	Natural causes - disease	"Toxoplasmosis.
toxoplasmosis, although there are other potential causes for these changes as well. We will do some further
testing on these tissues for Toxoplasma, and will update on the findings in due course."	55222	Disease	toxoplasma	y	NA	NA
U18-004	U18-004 a+b	H267	Maui dolphin	Cephalorhynchus hectori maui	21-Jan-2018	-37.39848777	174.7105166	Sunset Beach, Port Waikato	Waikato	WCNI	A	M	140	G	Beachcast (dead on shore)	Not Applicable	Animal washed ashore 100m south of sunset beach surf club. attended until DOC staff arrived.	Significant trauma (bite marks) to right hand side exposing internal organs. no signs of net entanglement. Adult Maui, sex unknown.	Natural Causes - general	Shark predation. The immediate cause of death was haemorrhage due to the ruptured aorta.	55411	Predation	shark predation	kind of	this one had disease of the aorta which likely contributed to the predation, and was likely due to a pathogen but too decomposed to identify fully	Subspecies designation based on location
NA	NA	H269	Hector's dolphin	Cephalorhynchus hectori hectori	04-Mar-2018	-41.26448523	173.1525115	Rabbit Island, near Nelson	Nelson	NCSI	A	M	NA	NA	Beachcast (dead on shore)	Unknown	The animal was recovered on 4/3/18 and held in the office on ice for delivery the next day. Complete animal will be sent to Massey University.	dolphin has visible net marks.	Entanglement	1. Probable bycatch. 2. Chronic moderate parasitism. The most likely cause of death is bycatch, based on the skin markings, full stomach and absence of other significant/severe conditions or diseases.	55594	Prob bycatch	probable bycatch	n	NA	NA
NA	NA	H270	Hector's dolphin	Cephalorhynchus hectori hectori	22-Mar-2018	-41.19143333	174.1897333	75m offshore, south end Spencer Bay, Queen Charlotte Sound	Queen Charlotte Sound	NCSI	S	M	125	NA	Dead sighting at sea	Not Applicable	Most likely natural causes	The first observer passed on that there was a pod of bottlenosed dolphins in the area the Hector's dolphin was seen (20 or so). When we went out to locate the dolphin we also saw this pod within 100-200m of where we picked up the Hector's dolphin. It was suggested they may have had something to do with its death (unlikely). Other than several very small marks that looked like decomposition, no other marks or injuries were seen on the carcass.	Natural causes - disease	"1. Severe parasitic pneumonia. 2. Impacted stomach contents. This young dolphin was in sub-optimal body condition, and had severe pneumonia caused by lungworm. In addition,
he had a compacted bolus of what appeared to be fine fish bones in his stomach. While either one of these
conditions alone is unlikely to have directly caused his death, it is possible that the combined effects were serious
enough to be fatal."	55663	Misc	severe parasitism + impacted stomach contents	NA	not sure if you want to include parasites in your 'pathogen' category?	NA
NA	NA	H271	Hector's dolphin	Cephalorhynchus hectori hectori	22-Apr-2018	-42.41344844	173.6691737	South Bay Kaikoura	Kaikoura	ECSI	A	U	145	NA	Beachcast (dead on shore)	Not Applicable	"The body was found beachcast and it is obvious that the dolphin was bitten more than once by a shark but otherwise there is nothing unusual noted about the body. We did have a decent southerly the evening before, so likely washed in then. 
"	DOC received word from the MPI fisheries ranger of a fresh dead Hector's dolphin found in South Bay	Natural causes - disease	1. Chronic aortic and heart disease. 2. Chronic kidney disease. 3. Moderate to severe parasitism (lungs and stomach). Shark bites likely occurred after death, poor body condition suggests underlying disease process rather than sudden death of a healthy animal. Worn teeth and heart lesions indicate an old animal. Histology showed lesions in the heart, aorta and kidneys which, along with the parasitism, would likely have combined to result in the poor body condition and death of this dolphin.	55810	Misc	renal disease/aortic and heart disease	unknown	NA	NA
U18-042	U18-042	H273	Maui dolphin	Cephalorhynchus hectori maui	30-Sep-2018	-37.67486357	174.8074157	Gibson Beach, Te Akau, Waikato	Waikato	WCNI	A	F	162	NA	Beachcast (dead on shore)	Not Applicable	Adult maui female, pregnant. No signs of trauma, very good condition. Had rotten fetus inside that would have died a few days earlier than the mother. Results indicate brucella strain present, fetus death due to brucellosis and maternal death from blood poisoning. Photo ID records back to2010, spotted with a calf in 2013. Also seen in 2015, 2016 and 2017	Animal washed ashore on Te Akau beach, private access only. Finder contacted DOC and stayed with animal until DOC arrived. Measurements and DNA taken, animal sent away for necropsy.	Natural causes - disease	Brucellosis (placentitis/metritis and fetal death) with maternal death due to septicaemia	56495	Disease	septicaemia due to retention of dead fetus + Brucellosis	y	NA	Subspecies designation based on location
NA	NA	H277	Hector's dolphin	Cephalorhynchus hectori hectori	17-Dec-2018	-43.485775	172.724826	Waimairi Surf Club, Christchurch, Pegasus Bay	Pegasus Bay	ECSI	J	F	70.3	NA	Beachcast (dead on shore)	Not Applicable	neonate dolphin found on beach.	airfreighted for necropsy	Entanglement	1. Open cause of death; possible bycatch. 2. Mild/moderate alveolar/interstitial pneumonia with intralesional squames. This is a very young calf that has fed reently, indicating that maternal separation is not the likely primary cause of death. There are some unusual lesions in and around the calf's mouth that are indicative of trauma, and could be consistent with contact with fishing gear. Histology shows inflammation in the lungs (i.e. pneumonia), but unsure of clinical significance of this.	56791	Maternal sep	maternal separation + possible pneumonia	unknown	testing underway to evaluate cause of pneumonia	NA
NA	NA	H278	Hector's dolphin	Cephalorhynchus hectori hectori	20-Dec-2018	-43.358914	172.831687	Pegasus Bay, Christchurch	Pegasus Bay	ECSI	A	M	122	NA	Entangled - caught in gear (dead)	Trawl net	Three dolphins caught in a trawl net and self-reported	Dolphins retained and sent for necropsy	Entanglement	Known bycatch. The post mortem findings in this animal (recently ingested fish in the stomach of an otherwise healthy dolphin in good body condition) are consistent with the history of bycatch. Various lacerations present	56797	Known bycatch	known bycatch	n	NA	NA
NA	NA	H279	Hector's dolphin	Cephalorhynchus hectori hectori	20-Dec-2018	-43.358914	172.831687	Pegasus Bay, Christchurch	Pegasus Bay	ECSI	A	M	116.4	NA	Entangled - caught in gear (dead)	Trawl net	Three dolphins caught in a trawl net and self-reported	Dolphins retained and sent for necropsy	Entanglement	Known bycatch. The post mortem findings in this animal (recently ingested fish in the stomach of an otherwise healthy dolphin in good body condition) are consistent with the history of bycatch. Various lacerations present	56798	Known bycatch	known bycatch	n	NA	NA
NA	NA	H280	Hector's dolphin	Cephalorhynchus hectori hectori	20-Dec-2018	-43.358914	172.831687	Pegasus Bay, Christchurch	Pegasus Bay	ECSI	A	M	117	NA	Entangled - caught in gear (dead)	Trawl net	Three dolphins caught in a trawl net and self-reported	Dolphins retained and sent for necropsy	Entanglement	Known bycatch. The post mortem findings in this animal (recently ingested fish in the stomach of an otherwise healthy dolphin in good body condition) are consistent with the history of bycatch. Various lacerations present	56799	Known bycatch	known bycatch	n	NA	NA
