Checked	Species_name	Common_name	Code	Date_stranded	Date_received	Location	Region	Ocean	Cause_of_death	Sex	Who		Source	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ07 (H183/09; U09-211)	30/08/2009		"Taylors Mistake, Christchurch"				Male					No	Yes	No	Hector's dolphin ID#H200/10. TL=0.73m. Calf.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Same sample as Che10NZ10. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ08 (H185/09; U09-212)	04/09/2009		"Quail Island, Lyttleton"									No	Yes	No	Skull fragment handed to DoC by member of the public. Identified as hector's dolphin By Anton van Helden. Estimated length of intact skull = 27cm. This sample is a piece of cartilage. ID#H201/10. Conservancy Stranding No: WC262.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ09 (H188/09; U09-213)	30/10/2009		Rakaia River Mouth				Female					No	Yes	No	Maui found approx. 500m from Indicators Point Raglan floating and towed by boat to Manu Bay boat ramp. Carcass chilled and sent to Massey. ID#H202. TL=1.22m	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Four samples, two kept because one was teeth. Massey code: W10-07Chh "	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ10 (H190/09; U09-214)	06/11/2009		"Otarawao Bay, Croisilles Harbour"	Western Marlborough Sounds	Tasman		Male						Yes			"Added to the database by Sahar. Two sapmles, both kept as one was teeth. One out of two samples (teeth) in Becca's box. Massey code: W10-01Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ11 (H175/09)													Yes			"Added to the database by Sahar. Two sapmles, both kept as one was teeth. Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ12 (H176/09)																Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ13 (H180/09)												No	Yes	No	Hector's dolphin ID#H200/10. TL=0.73m. Calf.	Added to the datbase by Sahar. Same sample as Che10NZ04. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ14 (H182/09)																Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ15 (H186/09)																Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ16 (H189/09)	03/11/2009															Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che09NZ17 (H192/09)	18/12/2009															Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ01 (H196/10; U10-013)	28/02/2010		Greymouth Beach	West Coast South Island	Tasman		Unknown	"Brad Edwards, Henk Stengs - DoC Greymouth"								Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ02 (H194/10; U10-043)	25/01/2010		"Pahia Point, Southland"												No sheet - RMH to request.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: Wnone"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ03 (H199/10; U10-102)	27/09/2010		"1km south of Ruatapu, nr Hokitika"	West Coast South Island	Tasman		Female	"Don Neale, DoC Hokitika"							Two samples (One AS Che11NZ06Collection of Hectors dolphin samples in 2018). #46900	Added to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ04 (H200/10; U10-103)	13/10/2010		"Serpentine Creek mouth, 20km north Hokitika"	West Coast South Island	Tasman		Female	"Don Neale, DoC Hokitika"							No Sheet yet - see RMH	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: W12-02Chh "	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ05 (H201/10; U10-166)	27/10/2010		"Cobden Beach, Greymouth"	West Coast South Island	Tasman		Unknown	"Don Neale, DoC Hokitika"				No	Yes	No	No sheet - RMH to request.	"Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar.Massey code: None"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ07 (H195/10; U10-182)	12/05/2010		Timaru												MAUI'S DOLPHIN	Added to the database by Sahar. Massey code: W13-17Ch	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ08 (H197/10; U10-183)	16/03/2010		3km N of Kekerengu				Male						Yes		TL = 1.36m		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ09 (H198/10; U10-184)	03/10/2010		"Ashworth's Beach, north of Christchurch; (Beach between Ashley River Mouth and  Ash----- Lagoon? can't read incident report)"													"Added to the database by Sahar. Two samples, one disposed. Massey code: WS99-22Ch"	
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ10 (H200/10; U10-185)	13/10/2010		"Serpentine Creek mouth, 20km north Hokitika"	West Coast South Island	Tasman		Female	"Don Neale, DoC Hokitika"					No		"from cards on Kirsty's desk, Franz's notes.damaged from nets"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che10NZ11 (H203/10; U10-186)	08/12/2010		"Waikuku Beach, Canterbury, Pegasus Bay"				Male						No		"from cards on Kirsty's desk, Franz's notes.incidental catch (net) found beachcast"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ01 (H204/11; U11-015)	24/01/2011		"Kaka Point, Otago"				Female						No		"from cards on Kirsty's desk, Franz's notes.net entangelment, found beachcast"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ02 (H205/11; U11-016)	24/01/2011		"Magnet Bay, Banks Peninsula"										No		"from cards on Kirsty's desk, Franz's notesin gillnetalternate code = CETOS 8506"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ03 (H207/11; U11-017)	09/03/2011		"Governors Bay, Lyttelton Harbour, Canterbury"				Female						No		"from cards on Kirsty's desk, Franz's notesnetted??alternate code = CETOS 8508"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ04 (H208/11; U11-018)	17/04/2011		"Sandy Beach, Governors Bay, Lyttelton Harbour, Canterbury"				Male						No		"from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 8845"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ05 (H210/11; U11-050)	17/10/2011		"Matau Branch, Clutha River mouth, Otago"				Female						No		"from cards on Kirsty's desk, Franz's notesrope marks on tail, probable entanglementalternate code = CETOS 8848"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che11NZ06 (H211/11; U11-051)	26/10/2011		"Clark's Beach, Manukau Harbour"										No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 8958"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che12NZ01 (H213/12; U12-003)	07/02/2012		Waimakariri River mouth										No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 8959"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che12NZ02 (H221/12; U12-003)	25/04/2012		"Opunake, Taranaki"										No		"from cards on Kirsty's desk, Franz's notesbone and tissue fragments from MoNZalternate code = CETOS 8730, monz2011"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che98NZ01	24/07/1998	Jan-06	Hannahs Clearing Haast NZMS260 F37 774 880	West Coast	Tasman		Male	"Megan Hieatl and Paul vanKilnk, DoC Haast"					No		"from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 8736, monz2008"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che99NZ01	09/07/1999		"North Coast Arawhata River, Haast"				Female						No		"from cards on Kirsty's desk, Franz's notesgillnetalternate code = CETOS 8737, monz2002"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP01	26/11/1994	Dec-94	"north of south New Brighton beach, Christchurch"	Christchurch	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9363"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP02	02/12/1994	Dec-94	Sumner Christchurch	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesgillnettedalternate code = CETOS 8844"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP03	01/12/1994	Dec-94	"south New Brighton Beach, Christchutch"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesnot many notes....alternate code = CETOS 9579"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP04	21/04/1985		"middle of Le Bons Bay, 1nm offshore in net"		Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesTl = 130cmteeth samplesalternate code = CETOS 8610"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP05	05/12/1985		"New Brighton Beach, close inshore"	Canterbury			Female						No		"from cards on Kirsty's desk, Franz's notesTL = 1.005mskin and teeth samplealternate code = CETOS 9589"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP06	16/01/1988		"caught off Akaroa harbour, off Onawe peninsula"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 95090"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP07	03/04/1988		Akaroa beach	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesvery decomposedalternate code = CETOS 96100"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP08	11/01/1989		"Pines Beach, waimakarir River Mouth"	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesdecomposed but with very clear knife cuts, very young, too young to have teeth?alternate code = CETOS 96107"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP09	20/12/1988		Lyttleton Harbour	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmealternate code = CETOS 98112"	"Two samples, one disposed. Massey code: WB98-18Ch"	
	Cephalorhynchus hectori	Hector's dolphin	CheBP10	30/01/1987		Sumner	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmeweight 27.7kgalternate code = CETOS 98108"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP11	02/10/1987		"15-17nm NE Godley Head,"	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notescaught by fishermen, CSLP observer programmeweight 26.6kgalternate code = CETOS 98115"	"The BP code was not metioned on the lable and I think this sample is CheBP52 based on the order of Massey and nacropsy codes (Massey code: WB98-20Ch, Ncode: 29385)"	
	Cephalorhynchus hectori	Hector's dolphin	CheBP12	04/11/1987		New Brighton beach	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesnetmarksweight 28.2kgalternate code = CETOS 98114"	"Two samples, one disposed. Masey code: WB98-21Ch"	
	Cephalorhynchus hectori	Hector's dolphin	CheBP13	12/12/1992		50m N or Waimari beach surf club	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesbycatch, CSLP Observer programmeweight 30.4kgalternate code = CETOS 98111"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP14	04/02/1988		Motunau 1nm offshore in net	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98105weight 27.8kg"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP16			Motunau	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98109weight 28.9kg"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP26	Jan-86		Duvauchelles	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98116weight 34.8kg"	"Two samples, one disposed. Massey code: WB98-25Ch"	
	Cephalorhynchus hectori	Hector's dolphin	CheBP33	20/03/1995		"Church Bay, Lyttleton"	Canterbury	Pacific		Unknown						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98107weight 29.1kg"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP40	24/10/1995		"Redcliffs, inside Christchurch estuary"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 98106weight 33.3kg"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP41	11/01/1996		1km north of Ashley river mouth	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesweight 27.2kgalternate code = CETOS 98113"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP42			Amberley Beach	Canterbury	Pacific		Unknown						No		"from cards on Kirsty's desk, Franz's noteslarge chunks missing, shark? also knife cuts?weight 13kg, part carcassalternate code = CETOS 98110"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheBP50 	17/02/1998			Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 1.095malternate code = H31/00"	No lable. The H code was unclear but H031 was the best I could read which matches this sample. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheBP51				Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesbeachcast TL = 0.845malternate code = H29/00"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheBP52				Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesbeachcast calfTL = 0.88malternate code = H33/00"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheBP53 (H15/98)	04/02/1998		"Saltwater Creek, Pegasus Bay"	Canterbury	Pacific		Male									No data available. No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheBP54	19/01/1998			Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 9162"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP55	18/02/1998		"Gore Bay, near Pegasus bay"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesTL = 144.2cmalternate code = CETOS 8735"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP56	02/01/1998		"Leithfield Beach, Pegasus Bay"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notes1 tooth, charredalternate code = VT167"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheBP57 (H18/98)	12/02/1998		Woodend beach	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notes1 toothalternate code = VT172"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP58			Leithfield beach	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9474"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP59			"Saltwater Creek, Pegasus Bay"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesfrozen tissuealternate code = CETOS 9475"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP60			"Gore Bay, Pegasus Bay"	Canterbury	Pacific		Male									No data available. No H code. Added to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheBP61			Sumner Head	Canterbury	Pacific		Unknown									No H code. Eneterd to the database by Sahar. Massey code: None	
Yes	Cephalorhynchus hectori	Hector's dolphin	CheBP62 (H31)	11/03/2000		"Pegasus Bay, Akaroa Harbour"	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"								No data available. No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheBP63	Jan-00		"1.3km north of the Waiairi surf club, pegasus Bay"	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"					No		"from cards on Kirsty's desk, Franz's notesdefinate net marksalternate code = CETOS Ch96102"		
	Cephalorhynchus hectori	Hector's dolphin	CheBP64	Mar-00		"100m S of the south Brighton Surf Club, Pegasus Bay"	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"					No		"from cards on Kirsty's desk, Franz's notes1 toothalternate code = VT168"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheCb01-04	24/12/2001		Timaru										No		"from cards on Kirsty's desk, Franz's notes.poor quality dried soft tissueTL = 132cmalternate code = Monz 1913"		
	Cephalorhynchus hectori	Hector's dolphin	CheDu01	13/09/1991		"Waikowaiiti Beach, Dunedin"	Otago	Pacific		Unknown	Steve Dawson and Liz Slooten					No		"from cards on Kirsty's desk, Franz's notes.alternate code = CETOS 9373"		
	Cephalorhynchus hectori	Hector's dolphin	CheDu02	22/07/1985		Oamaru	Otago	Pacific		Unknown	Otago Museum					No		"from cards on Kirsty's desk, Franz's notes.old female"		
	Cephalorhynchus hectori	Hector's dolphin	CheDu03	01/05/1934		Waitaki River Mouth	Otago	Pacific		Unknown	Otago Museum					No		"from cards on Kirsty's desk, Franz's notes.TL=1.39mtooth sample from taranaki museum A71-765"		
	Cephalorhynchus hectori	Hector's dolphin	CheDu04	08/04/2005		Waikowaiti	Otago	Pacific		Unknown	Otago Museum					No		"from cards on Kirsty's desk, Franz's notes.dried skin and teeth from taranaki museum A78.570TL = 1.595m"		
	Cephalorhynchus hectori	Hector's dolphin	CheKk01	16/03/1994		Kaikoura				Male	Liz Slooten					No		"from cards on Kirsty's desk, Franz's notes.juvenile TL = 82cm, umbilical cord still oozing blood foetal folds present dorsal not straight"		
	Cephalorhynchus hectori	Hector's dolphin	CheKk02	17/08/1994		Kaikoura				Male	Liz Slooten					No		"from cards on Kirsty's desk, Franz's notes.pregnany with NI17 blunt trauma injuries under chinalternate code = massey WS97.58Ch"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheKk	09/01/2002		Kaikoura										No		"from cards on Kirsty's desk, Franz's notes.foetus of NI16alternate code = massey WS97.59Ch"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheMb03-01	05/12/2003		South Marlborough				Male						No		"from cards on Kirsty's desk, Franz's notes.foetus in NI21alternate code = massey 29718"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheMoNZ1610	07/10/1996												No		"from cards on Kirsty's desk, Franz's notes.calf"		
	Cephalorhynchus hectori	Hector's dolphin	CheND02							Male						No		"from cards on Kirsty's desk, Franz's notes. heavy body-wall contusionsalternate code = massey 29718"		
	Cephalorhynchus hectori	Hector's dolphin	CheND12	08/05/2005		Maia					Otago Museum					No		TL 1.4m		
	Cephalorhynchus hectori	Hector's dolphin	CheNe02	17/01/1980		Port Underwood				Male	Museum of NZ					No		TL 1.1m		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheNI01	26/08/1993		Manukau Heads	Auckland	Tasman		Female						No		TL .79m	Massey code: WB02-02Chh	
	Cephalorhynchus hectori	Hector's dolphin	CheNI02	16/05/1995		"Taharoa Beach, West Coast NI"		Tasman		Female						No		"TL 0.66m, badly decomposed animal"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI04	27/09/1988		"Tongaporutu, Taranaki 38 49'15''S 174 34'50''"	Taranaki	Tasman		Male	Taranaki Museum					No		"TL 0.79m, decomposed animal"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI07	26/01/1979		"Wai-iti Beach, Taranaki"	taranaki	Tasman		Unknown	taranaki Museum					No		"TL 1.34m,"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI12	20/11/1995		Muriwai Beach	Auckland	Tasman								No		"TL 1.39m, net marks around melon, 2 of 2"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI16	01/11/1997		Muriwai	Auckland	Tasman		Female						No		"TL 1.27m, net marks around melon and rostrum, in flukes and flippers, tooth rakes around melon, 1 of 2"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI17	01/11/1997		Muriwai	Auckland	Tasman								No		TL 1.07m		
	Cephalorhynchus hectori	Hector's dolphin	CheNI22	20/10/1998		Whatipu	Auckland	Tasman		Female						No		TL 1.20m		
	Cephalorhynchus hectori	Hector's dolphin	CheNI23	01/11/1998		"Karotahi Beach, Waiaku"	Auckland	Tasman		Unknown						No		"TL 1.34mNet marks, report of it being cut out of net by fishermen"		
	Cephalorhynchus hectori	Hector's dolphin	CheNI24	20/10/1998		Whatipu	Auckland	Tasman		Female						No		TL 1.24m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI01	06/06/2001		NZMS260 L28 24141 5921 Buller	West Coast	Tasman		Female	"M. Abel, DoC Hokitika"					Yes		"Head only, mutilated carcass"		
	Cephalorhynchus hectori	Hector's dolphin	CheSI02	02/02/2001		Near Waimakariri River	Canterbury	Pacific		Male	"AL Hutt, DoC Nth Canterbury"					No		TL 1.29m		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheSI03 (H41/01)	31/10/2001		2km Nth of Buller rivermouth	West Coast	Tasman		Female	"Martin Abel, DoC Buller"					No		TL 1.30m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI04	18/02/2002		"60m Nth of sewage plants, NZMS260 J32 23452 58328"	West Coast	Tasman		Female	"Don Neale, DoC Hokitika"					No		TL 1.43m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI05	31/03/2002		"Fox River Beach, Paparoa"	West Coast	Tasman		Unknown	"Don Neale, DoC Hokitika"					No		TL 1.33m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI06	13/04/2002		"Kaihinu, 5km Nth Hokitika"	West Coast	Tasman		Female	"Don Neale, DoC Hokitika"					No		TL 1.33m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI07	23/11/1999		Halfway between Beach Rd(Fairdown) and Whareakea R mouth	West Coast	Tasman		Female	"Dave Crickett, DoC Westport"					No		"TL 1.23m, net marked"		
	Cephalorhynchus hectori	Hector's dolphin	CheSI08	23/11/1999		Halfway between Beach Rd(Fairdown) and Whareakea R mouth	West Coast	Tasman		Male	"Dave Crickett, DoC Westport"					No		"TL 0.84m,"		
	Cephalorhynchus hectori	Hector's dolphin	CheSI09	29/10/2000		150m inshore marker buoy in Port Levy	Canterbury	Pacific		Female	"Jim Lilley, DoC Nth Canterbury"					No		"TL 1.08m,"		
	Cephalorhynchus hectori	Hector's dolphin	CheSI12	19/12/2000		"Below MHWS, opposite Leithfield Motor Camp"	Canterbury	Pacific		Male	"Jim Lilley, Whale Watch"					No		"TL 1.09m, Net marks"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheSI26 (H43/01)	22/12/2001		300m Sth of Paroa Hotel NZMS260 J32 23592 58531	West Coast	Tasman		Female	"Don Neale, DoC Hokitika"					No		"TL 0.92m, Net marks"		
	Cephalorhynchus hectori	Hector's dolphin	CheSI27	22/08/1994		"Kaitinu Beach, NZMS260 J32 23467 58348"	West Coast	Tasman			"Don Neale, DoC Hokitika"					No		"TL 0.88m, Net marks"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheSI28 (H38/01)	23/01/2001		Rangitata River Mouth	Canterbury	Pacific		Unknown	"AL Hutt, DoC Nth Canterbury"					No		Skeleton only		
	Cephalorhynchus hectori	Hector's dolphin	CheSI31	14/12/2000		600m Sth Waikuku Beach Settlement	Canterbury	Pacific		Unknown	"Jim Lilley, Whale Watch"					No		TL 1.05m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI53	14/08/2002		"Pororari Beach spit, Punakaiki"	West Coast	Tasman		Unknown	"Don Neale, DoC Hokitika"					No		TL 1.25m		
	Cephalorhynchus hectori	Hector's dolphin	CheSI55	02/09/2018		"Barrytown Beach, Buller"	West Coast	Tasman		Unknown	"Chippy Wood, DoC Hokitika"					No		TL 1.25m		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheSI56 (H39/01)	10/11/2002		10.6km west of Farewell Spit Lighthouse	Nelson	Tasman		Male	"Hans Stoffregen, DoC Golden Bay"					No		TL 1.34m		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	23/07/1999		"North Coast of Arawhata River, Haast"	West Coast	Tasman											Tooth samles. In a plastic bag which was moved to a tube with ethanol. No data available. No H code. Labled and eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	22/12/1999		Timaru NZMS 260 J39-K39 706449	Canterbury	Pacific		Male	"Steve Harraway, DoC Raukapuka"					No		"from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissuealternate code = CETOS 8841"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	22/01/2000		"1.3km north of Waimairi Surf club, Pegasus bay"	Canterbury	Pacific		Male	"Jim Lilley, DoC North Canterbury"					No		"from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissuealternate code = CETOS 8846"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	03/03/2000		"Quail Island, Lyttelton Harbour"	Canterbury	Pacific		Male	"Jim Lilley, DoC North Canterbury"					No		"from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissue and 2 teeth from MoNZalternate code = CETOS 8739"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	11/03/2000		PC Bay Akaroa	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"					No		"from cards on Kirsty's desk, Franz's notesnet marks, beachcastalternate code = CETOS 9698"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	19/03/2000		Opihi River Mouth	Canterbury	Pacific		Male	"Jim Lilley, DoC Akaroa"					No		"from cards on Kirsty's desk, Franz's notespossible live strandingalternate code = CETOS 9699"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	27/03/2000		"100m Sth of Brighton Surf Club, Pegasus Bay"	Canterbury	Pacific		Male	"Jim Lilley, DoC Nth Canterbury"					No		"from cards on Kirsty's desk, Franz's notesdecomposedalternate code = CETOS 96103"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	05/07/2000		Bold Head 20km Sth Hokitika	West Coast	Tasman			"Don Neale, DoC Hokitika"					No		"from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 1.23malternate code = H28/99"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	20/07/2001		"Head of Harbour, Port Levy"	Canterbury	Pacific			"Jim Lilley, Marine Watch"					No		"from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 0.920malternate code = H32/00"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	08/01/2001		"In Rig Net off beach behind 39 Chambelain Ave, Amberley Beach"	Canterbury	Pacific		Female	"Jim Lilley, Whale Watch"					No		"from cards on Kirsty's desk, Franz's notesfrozen tissue"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIFP	23/12/2001		"Washdyke, timaru"	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"					No		"from cards on Kirsty's desk, Franz's notesbeachcast for several weeks before foundalternate code = CETOS 9693"		
	Cephalorhynchus hectori	Hector's dolphin	CheSIxx	25/11/2002		Nikan Beach 35km Sth Westport	West Coast	Tasman			"Martin Abel, DoC Buller"					No		"from cards on Kirsty's desk, Franz's notesbeachcast very decomposedalternate code = CETOS 9695"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheT			Otago?										No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9694"		
	Cephalorhynchus hectori	Hector's dolphin	CheTi01	31/01/1988		"12NM N of Timaru, 4NM offshore"	Canterbury	Pacific		Female						No		"from cards on Kirsty's desk, Franz's notestooth"		
	Cephalorhynchus hectori	Hector's dolphin	CheTi02	30/01/1988		"12NM N of Timaru, 9NM offshore"	Canterbury	Pacific		Male									No data available. No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheTi03	10/03/1994		"18NM S of Timaru, 1.5NM offshore"	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 9365"		
	Cephalorhynchus hectori	Hector's dolphin	CheTi08	07/02/1995		Timaru NZMS260 J39K39 713454	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9366"		
	Cephalorhynchus hectori	Hector's dolphin	CheTi09	28/12/1995		Rangitata River Mouth	Canterbury	Pacific		Male								TL 1.34m	Eneterd to the database by Sahar. Massey code: WB03-05Chh	
